REF_DATE,GEO,DGUID,Admissions and releases,Correctional services,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Provincial director remand,Number,223,units,0,v43732560,8.1.3,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Secure custody,Number,223,units,0,v32445772,8.1.4,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445773,8.1.5,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445774,8.1.6,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Open custody,Number,223,units,0,v32445775,8.1.7,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445776,8.1.8,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v32445777,8.1.9,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Total community sentences,Number,223,units,0,v32445778,8.1.10,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v32445779,8.1.11,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Intensive support and supervision,Number,223,units,0,v43732561,8.1.12,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445780,8.1.13,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Supervised probation,Number,223,units,0,v32445781,8.1.14,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth admissions,Other community sentences,Number,223,units,0,v32445782,8.1.15,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Total correctional services,Number,223,units,0,v32445783,8.2.1,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Pre-trial detention,Number,223,units,0,v41444273,8.2.2,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Provincial director remand,Number,223,units,0,v43732562,8.2.3,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Secure custody,Number,223,units,0,v32445784,8.2.4,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445785,8.2.5,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445786,8.2.6,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Open custody,Number,223,units,0,v32445787,8.2.7,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Custody and supervision (open),Number,223,units,0,v32445788,8.2.8,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445789,8.2.9,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Total community sentences,Number,223,units,0,v32445790,8.2.10,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v32445791,8.2.11,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Intensive support and supervision,Number,223,units,0,v43732563,8.2.12,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Deferred custody and supervision,Number,223,units,0,v32445792,8.2.13,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Supervised probation,Number,223,units,0,v32445793,8.2.14,,..,,t,0
2012/2013,"Ontario, Ministry of Children and Youth Services (MCYS)",,Youth releases,Other community sentences,Number,223,units,0,v32445794,8.2.15,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Total correctional services,Number,223,units,0,v32445795,9.1.1,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Pre-trial detention,Number,223,units,0,v32445796,9.1.2,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Provincial director remand,Number,223,units,0,v79960462,9.1.3,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Secure custody,Number,223,units,0,v32445797,9.1.4,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445798,9.1.5,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445799,9.1.6,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Open custody,Number,223,units,0,v32445800,9.1.7,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445801,9.1.8,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v32445802,9.1.9,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Total community sentences,Number,223,units,0,v32445803,9.1.10,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v32445804,9.1.11,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Intensive support and supervision,Number,223,units,0,v32445805,9.1.12,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445806,9.1.13,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Supervised probation,Number,223,units,0,v32445807,9.1.14,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth admissions,Other community sentences,Number,223,units,0,v32445808,9.1.15,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Total correctional services,Number,223,units,0,v32445809,9.2.1,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Pre-trial detention,Number,223,units,0,v32445810,9.2.2,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Provincial director remand,Number,223,units,0,v79960463,9.2.3,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Secure custody,Number,223,units,0,v32445811,9.2.4,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445812,9.2.5,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445813,9.2.6,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Open custody,Number,223,units,0,v32445814,9.2.7,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Custody and supervision (open),Number,223,units,0,v32445815,9.2.8,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445816,9.2.9,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Total community sentences,Number,223,units,0,v32445817,9.2.10,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v32445818,9.2.11,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Intensive support and supervision,Number,223,units,0,v32445819,9.2.12,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Deferred custody and supervision,Number,223,units,0,v32445820,9.2.13,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Supervised probation,Number,223,units,0,v32445821,9.2.14,,..,,t,0
2012/2013,"Ontario, Ministry of Community Safety and Correctional Services (MCSCS)",,Youth releases,Other community sentences,Number,223,units,0,v32445822,9.2.15,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth admissions,Total correctional services,Number,223,units,0,v32445823,10.1.1,5473,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Pre-trial detention,Number,223,units,0,v32445824,10.1.2,2391,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Provincial director remand,Number,223,units,0,v32445825,10.1.3,267,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Secure custody,Number,223,units,0,v32445826,10.1.4,163,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445827,10.1.5,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445828,10.1.6,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth admissions,Open custody,Number,223,units,0,v32445829,10.1.7,227,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445830,10.1.8,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v32445831,10.1.9,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth admissions,Total community sentences,Number,223,units,0,v32445832,10.1.10,2425,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v32445833,10.1.11,379,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Intensive support and supervision,Number,223,units,0,v32445834,10.1.12,,..,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Deferred custody and supervision,Number,223,units,0,v32445835,10.1.13,155,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Supervised probation,Number,223,units,0,v32445836,10.1.14,957,,,,0
2012/2013,Manitoba,2016A000246,Youth admissions,Other community sentences,Number,223,units,0,v32445837,10.1.15,934,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Total correctional services,Number,223,units,0,v32445838,10.2.1,5488,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Pre-trial detention,Number,223,units,0,v32445839,10.2.2,2437,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Provincial director remand,Number,223,units,0,v32445840,10.2.3,267,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Secure custody,Number,223,units,0,v32445841,10.2.4,169,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Custody and supervision (secure),Number,223,units,0,v32445842,10.2.5,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v32445843,10.2.6,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth releases,Open custody,Number,223,units,0,v32445844,10.2.7,227,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Custody and supervision (open),Number,223,units,0,v32445845,10.2.8,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v32445846,10.2.9,,..,,t,0
2012/2013,Manitoba,2016A000246,Youth releases,Total community sentences,Number,223,units,0,v32445847,10.2.10,2388,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v32445848,10.2.11,374,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Intensive support and supervision,Number,223,units,0,v32445849,10.2.12,,..,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Deferred custody and supervision,Number,223,units,0,v32445850,10.2.13,147,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Supervised probation,Number,223,units,0,v32445851,10.2.14,927,,,,0
2012/2013,Manitoba,2016A000246,Youth releases,Other community sentences,Number,223,units,0,v32445852,10.2.15,940,,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Total correctional services,Number,223,units,0,v32445853,11.1.1,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Pre-trial detention,Number,223,units,0,v41551925,11.1.2,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Provincial director remand,Number,223,units,0,v41551926,11.1.3,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Secure custody,Number,223,units,0,v32445854,11.1.4,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445855,11.1.5,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v41551927,11.1.6,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Open custody,Number,223,units,0,v32445856,11.1.7,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445857,11.1.8,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v41551928,11.1.9,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Total community sentences,Number,223,units,0,v32445858,11.1.10,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Community Portion of Custody Supervision,Number,223,units,0,v41444274,11.1.11,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Intensive support and supervision,Number,223,units,0,v41551929,11.1.12,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Deferred custody and supervision,Number,223,units,0,v41444275,11.1.13,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Supervised probation,Number,223,units,0,v32445859,11.1.14,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth admissions,Other community sentences,Number,223,units,0,v41551930,11.1.15,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Total correctional services,Number,223,units,0,v32445860,11.2.1,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Pre-trial detention,Number,223,units,0,v41551931,11.2.2,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Provincial director remand,Number,223,units,0,v41551932,11.2.3,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Secure custody,Number,223,units,0,v32445861,11.2.4,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Custody and supervision (secure),Number,223,units,0,v41551933,11.2.5,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Young Offenders Act (YOA) (secure),Number,223,units,0,v41551934,11.2.6,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Open custody,Number,223,units,0,v32445862,11.2.7,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Custody and supervision (open),Number,223,units,0,v41551935,11.2.8,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Young Offenders Act (YOA) (open),Number,223,units,0,v41551936,11.2.9,,..,,t,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Total community sentences,Number,223,units,0,v41444276,11.2.10,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Community Portion of Custody Supervision,Number,223,units,0,v41444277,11.2.11,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Intensive support and supervision,Number,223,units,0,v41551937,11.2.12,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Deferred custody and supervision,Number,223,units,0,v41444278,11.2.13,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Supervised probation,Number,223,units,0,v41444279,11.2.14,,..,,,0
2012/2013,Saskatchewan,2016A000247,Youth releases,Other community sentences,Number,223,units,0,v41551938,11.2.15,,..,,,0
2012/2013,Alberta,2016A000248,Youth admissions,Total correctional services,Number,223,units,0,v32445863,12.1.1,,..,,,0
2012/2013,Alberta,2016A000248,Youth admissions,Pre-trial detention,Number,223,units,0,v32445864,12.1.2,,..,,,0
2012/2013,Alberta,2016A000248,Youth admissions,Provincial director remand,Number,223,units,0,v41551939,12.1.3,,..,,,0
2012/2013,Alberta,2016A000248,Youth admissions,Secure custody,Number,223,units,0,v32445865,12.1.4,,..,,,0
2012/2013,Alberta,2016A000248,Youth admissions,Custody and supervision (secure),Number,223,units,0,v32445866,12.1.5,,..,,t,0
2012/2013,Alberta,2016A000248,Youth admissions,Young Offenders Act (YOA) (secure),Number,223,units,0,v41551940,12.1.6,,..,,t,0
2012/2013,Alberta,2016A000248,Youth admissions,Open custody,Number,223,units,0,v32445867,12.1.7,,..,,,0
2012/2013,Alberta,2016A000248,Youth admissions,Custody and supervision (open),Number,223,units,0,v32445868,12.1.8,,..,,t,0
2012/2013,Alberta,2016A000248,Youth admissions,Young Offenders Act (YOA) (open),Number,223,units,0,v41551941,12.1.9,,..,,t,0
2012/2013,Alberta,2016A000248,Youth admissions,Total community sentences,Number,223,units,0,v32445869,12.1.10,,..,,,0
